,Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Pin code,Output,Feedback
212,1,1,2,3,4,0,1,2,0,0
213,2,1,2,3,4,0,2,2,1,1
214,2,0,2,0,0,2,3,1,1,1
215,4,1,0,2,0,3,2,1,1,0
216,3,1,0,0,1,2,4,2,1,1
217,2,1,2,0,0,0,1,2,0,0
218,4,0,0,1,4,0,4,3,1,1
219,3,0,0,2,1,0,2,3,1,1
220,1,0,2,3,4,2,0,2,1,1
221,2,0,2,3,4,0,1,3,0,1
222,2,1,0,0,0,0,3,3,0,1
223,4,1,0,0,3,0,4,3,1,1
224,2,0,0,3,4,2,1,3,1,1
225,3,1,2,2,0,2,1,3,1,1
226,1,0,2,3,4,2,2,3,1,1
227,2,1,2,3,4,2,1,3,1,1
228,2,0,0,2,0,0,4,3,0,0
229,4,1,0,0,1,0,2,3,1,1
230,3,1,2,2,3,0,5,4,1,1
231,1,1,2,3,4,0,4,2,1,1
232,2,0,2,2,1,2,2,4,0,0
233,2,1,1,2,3,2,1,4,1,1
234,2,1,0,0,3,1,2,4,1,1
235,3,1,2,0,1,0,2,4,0,0
236,1,1,2,3,4,0,2,4,1,1
237,2,1,2,3,4,0,1,2,1,1
238,3,1,0,0,1,0,1,4,1,1
239,2,0,2,3,4,2,2,4,0,1
240,4,1,0,0,3,2,5,4,1,1
241,1,0,2,3,4,0,1,4,1,1
242,3,1,0,0,1,0,2,4,1,1
243,2,0,2,3,4,2,1,4,1,1
244,4,1,0,2,3,0,0,4,0,0
245,1,1,2,3,4,0,2,4,1,1
246,2,0,0,0,2,0,5,4,0,0
247,2,1,2,2,3,3,2,4,1,1
248,4,1,1,0,2,0,0,4,0,0
249,2,0,2,0,1,2,1,4,1,1
250,3,0,0,0,1,1,2,4,1,1
251,1,1,2,3,4,0,5,4,1,1
252,1,1,2,3,4,0,2,5,1,1
253,1,1,2,0,0,0,1,5,1,1
254,4,0,0,1,4,3,5,2,0,1
255,3,1,0,2,3,0,2,4,1,1
256,2,1,2,3,4,2,1,1,0,0
257,4,1,0,2,1,3,5,3,0,0
258,2,1,2,3,4,2,2,3,1,1
259,3,0,0,0,1,2,5,3,0,0
260,4,1,0,2,3,0,5,3,1,1
261,2,0,0,0,1,2,1,1,1,0
262,1,1,2,3,4,0,1,1,0,0
263,2,0,1,0,0,0,2,1,0,0
264,2,1,0,2,3,2,3,2,1,1
265,2,0,2,0,1,0,1,3,1,1
266,2,1,0,0,0,0,2,3,0,0
267,2,0,2,0,1,2,1,3,1,1
268,1,1,2,3,1,0,2,2,1,1
269,2,0,2,0,1,2,1,2,1,1
270,2,1,2,0,0,0,1,1,1,1
271,1,0,2,0,2,0,1,1,0,0
272,2,1,0,2,1,0,2,2,1,1
273,2,0,0,0,0,2,1,2,1,1
274,1,1,0,3,4,0,1,1,1,1
275,2,0,2,3,4,2,3,1,1,1
276,2,1,0,0,3,2,2,3,1,1
277,1,0,2,3,4,0,1,3,1,1
278,4,1,0,0,3,0,4,3,0,0
279,2,0,1,0,0,0,3,2,1,1
280,1,1,2,3,4,0,5,2,1,1
281,1,0,2,3,4,0,1,4,1,1
282,2,1,2,3,4,0,3,4,1,1
283,2,0,2,0,1,0,2,3,1,1
284,2,0,0,0,0,2,1,2,0,1
285,2,0,2,3,4,1,1,1,1,1
286,2,0,2,3,0,0,1,1,1,1
287,3,0,0,0,1,0,4,1,0,0
288,2,0,2,3,4,2,2,1,1,1
289,1,0,2,3,4,0,1,1,1,1
290,3,0,0,2,3,0,5,1,0,1
291,2,0,0,0,1,0,2,1,0,1
292,2,0,2,3,4,2,4,1,0,0
293,2,0,0,0,3,0,0,1,0,0
294,2,0,1,0,1,2,2,1,0,0
295,2,0,0,3,2,1,4,1,1,1
296,2,1,2,3,4,2,2,1,1,1
297,1,1,2,0,0,0,0,1,1,1
298,3,1,2,0,1,2,1,1,0,0
299,2,0,2,0,3,2,5,1,0,0
300,1,1,2,3,2,2,2,1,1,0
301,1,0,2,3,4,0,5,1,1,1
302,1,1,2,3,2,2,3,1,1,1
303,3,0,0,0,3,2,1,5,1,1
304,1,1,2,3,4,0,2,1,1,1
305,2,0,2,3,4,2,2,2,1,1
306,2,0,2,3,4,2,1,1,1,1
307,2,0,2,3,4,2,3,2,1,1
308,1,0,2,3,4,2,4,1,1,1
309,2,1,2,3,2,2,1,1,1,0
310,4,1,0,0,3,0,4,3,1,1
311,2,0,0,3,4,2,1,3,1,1
312,3,1,2,2,0,2,1,3,1,1
313,1,0,2,3,4,2,2,3,1,1
314,2,1,2,3,4,2,1,3,1,1
315,2,0,0,2,0,0,4,3,0,0
316,4,1,0,0,1,0,2,3,1,1
317,3,1,2,2,3,0,5,4,1,1
318,1,1,2,3,4,0,4,2,1,1
319,2,0,2,2,1,2,2,4,0,0
320,2,1,1,2,3,2,1,4,1,1
321,1,1,0,0,3,1,2,4,1,1
322,3,1,2,0,1,0,2,4,0,0
323,1,1,2,3,4,0,2,4,1,1
324,2,1,2,3,4,0,1,2,1,1
325,3,1,0,0,1,0,1,4,1,1
326,2,0,2,3,4,2,2,4,0,1
327,4,1,0,0,3,2,5,4,1,1
328,1,0,2,3,4,0,1,4,1,1
329,1,0,2,0,1,0,3,4,1,1
330,2,1,0,0,3,0,3,2,1,1
331,2,0,2,3,4,1,2,2,1,1
332,1,1,2,3,4,0,1,2,1,1
333,3,1,0,0,1,0,3,2,0,0
334,2,0,2,3,4,0,0,1,1,1
335,2,1,2,2,3,0,1,2,1,1
336,3,0,0,0,1,0,3,2,0,0
337,3,1,0,2,1,0,5,2,0,1
338,2,1,2,2,0,0,2,2,1,1
339,1,1,2,3,4,0,1,2,0,0
340,2,1,2,3,4,0,2,2,1,1
341,2,0,2,0,0,2,3,1,1,1
342,1,1,0,2,0,3,2,1,1,0
343,3,1,0,0,1,2,4,2,1,1
344,2,1,2,0,0,0,1,2,0,0
345,1,0,2,0,1,0,3,4,1,1
346,2,1,0,0,3,0,3,2,1,1
347,2,0,2,3,4,1,2,2,1,1
348,1,1,2,3,4,0,1,2,1,1
349,3,1,0,0,1,0,3,2,0,0
350,2,0,2,3,4,0,0,1,1,1
351,2,1,2,2,3,0,1,2,1,1
352,3,0,0,0,1,0,3,2,0,1
353,3,1,0,2,1,0,5,2,0,1
354,2,1,2,2,0,0,2,2,1,1
355,1,1,2,3,4,0,1,2,0,1
356,2,1,2,3,4,2,1,3,1,1
357,2,0,0,2,0,0,4,3,0,0
358,4,1,0,0,1,0,2,3,1,1
359,3,1,2,2,3,0,5,4,1,1
360,1,1,2,3,4,0,4,2,1,1
361,2,0,2,2,1,2,2,4,0,0
362,2,1,1,2,3,2,1,4,1,1
363,4,1,0,0,3,1,2,4,1,1
364,3,1,2,0,1,0,2,4,0,0
365,1,1,2,3,4,0,2,4,1,1
366,2,1,2,3,4,0,1,2,1,1
367,3,1,0,0,1,0,1,4,1,1
368,2,0,2,3,4,2,2,4,0,1
369,4,1,0,0,3,2,5,4,1,1
370,1,0,2,3,4,0,1,4,1,1
371,3,1,0,0,1,0,2,4,1,1
372,2,0,2,3,4,2,1,4,1,1
373,4,1,0,2,3,0,0,4,0,0
374,1,1,2,3,4,0,2,4,1,0
375,2,0,0,0,2,0,5,4,0,0
376,2,1,2,2,3,3,2,4,1,1
377,4,1,1,0,2,0,0,4,0,0
378,2,0,2,0,1,2,1,4,1,1
379,1,1,2,3,2,2,3,1,1,1
380,3,0,0,0,3,2,1,5,1,1
381,1,1,2,3,4,0,2,1,1,1
382,2,0,2,3,4,2,2,2,1,1
383,2,0,2,3,4,2,1,1,1,1
384,2,0,2,3,4,2,3,2,1,1
385,1,0,2,3,4,2,4,1,1,1
386,2,1,2,3,2,2,1,1,1,1
387,2,1,2,3,4,2,4,4,1,1
